"lon","lat","id","name","addr","bnd","sameAs"
"8.903074","44.410500","5942","GENOVA Via Antonio Cantore 24/R","Via Antonio Cantore  24/R GENOVA, GE 16149 - GENOVA GE","TotalErg",
"8.947596","44.398060","13180","IP","via Cecchi 54a/r, Genova - GENOVA GE","Api-Ip",
"8.900017","44.456834","7856","Esso Andrea e Michele Gimondo s.n.c","VIA RETA COSTANTINO - NOVA 32 16162 - GENOVA GE","Esso",
"8.993048","44.389819","23707","GENOVA-QUARTO VIA 5 MAGGIO, 79 R - STAZ.Q8","VIA 5 MAGGIO, 79 R - GENOVA GE","Q8",
"8.972904","44.449932","21390","Planet Oil Via Emilia","VIA EMILIA 66 R, 16138 - GENOVA GE","Api-Ip",
"8.978990","44.406969","15776","Stazione Agip di Gulisano Angelo","CORSO EUROPA 213, 16132 - GENOVA GE","AgipEni",
"8.855494","44.424984","23764","SESTRI PONENTE VIA BORZOLI 13 R","VIA BORZOLI 13 R - GENOVA GE","Q8",
"8.854314","44.415864","15755","erg bielleesse","VIA PIONIERI E AVIATORI D'ITALIA 10, 16154 - GENOVA GE","TotalErg",
"9.013614","44.389622","17184","ENI 01090","CORSO EUROPA 1462, 16132 - GENOVA GE","AgipEni","26858"
"8.949719","44.407460","13814","impianto eni cod 01038","VIA CANEVARI 1R, 16137 - GENOVA GE","AgipEni",
"8.962520","44.394383","10023","a&V service snc","via renzo righetti,1r 16145 - GENOVA GE","AgipEni",
"8.964224","44.402038","10695","Distributore ESSO","VIA MONTE ZOVETTO 25 R., 16145 - GENOVA GE","Esso",
"8.891283","44.426121","13263","Tony & Luca snc","VIA W.FILLAK 168/R., 16159 - GENOVA GE","AgipEni",
"8.905305","44.465845","6387","GENOVA VIA G. COLANO","VIA G. COLANO SNC GENOVA, GE 16162 - GENOVA GE","Q8",
"8.974447","44.390822","16841","agip mancini carmelo","VIA CAVALLOTTI FELICE 1 G R, 16146 - GENOVA GE","AgipEni",
"8.904254","44.470173","23604","Morigallo","VIA SAN QUIRICO  1A 16163 - GENOVA GE","TotalErg","23605"
"8.829900","44.426300","17680","GE MULTEDO","VIA MULTEDO DI PEGLI 11/R, 16155 - GENOVA GE","Api-Ip",
"8.990147","44.408195","15291","Tamoil","VIA TANINI GIULIO 24 R, 16133 - GENOVA GE","Tamoil",
"8.993415","44.398557","11599","GENOVA-C.SO EUROPA 852","C.SO EUROPA 852 GENOVA, GE 16148 - GENOVA GE","Shell",
"8.978392","44.452117","23130","GENOVA G. ADAMOLI 361/2","G. ADAMOLI 361/2 - GENOVA GE","Q8",
"8.777644","44.427295","7348","ENI 01082","VIA PRA' 159 R., 16157 - GENOVA GE","AgipEni",
"8.900771","44.411151","3910","LA LANTERNA EST","Autostrada A7 SERRAVALLE-GENOVA, Km. 133+200, dir. Nord - GENOVA GE","Shell",
"8.955188","44.411609","25363","Q8","CORSO SARDEGNA 261 R, 16142 - GENOVA GE","Q8","25362;12637"
"8.888635","44.421804","17679","GE FILLAK","VIA WALTER FILLAK 189, 16151 - GENOVA GE","Api-Ip",
"8.953153","44.411437","12292","Geraci Roberto","VIA MORESCO null, 16137 - GENOVA GE","Api-Ip",
"8.834010","44.427124","23837","GENOVA VIA MULTEDO, 3","VIA MULTEDO, 3 - GENOVA GE","Q8",
"8.867192","44.415636","9225","ESSO CORNIGLIANO","VIA CORNIGLIANO 183 B R 16152 - GENOVA GE","Esso",
"9.045098","44.383982","27525","GENOVA - NERVI","GENOVA fraz NERVI - VIA DONATO SOMMA 51R 16167 - GENOVA GE","Api-Ip",
"8.950962","44.404965","21391","Planet Oil Via Tolemaide","VIA TOLEMAIDE 7 R, 16129 - GENOVA GE","Api-Ip",
"8.946170","44.401009","7512","SELF CENTER ZONZA","VIA DIAZ ARMANDO 23B/R 16121 - GENOVA GE","Api-Ip",
"8.980903","44.397266","13971","esso","VIA ISONZO 1 R, 16147 - GENOVA GE","Esso",
"8.894275","44.449420","26268","P. & R. snc","VIA TEGLIA 19R 16161 - GENOVA GE","Api-Ip",
"8.954738","44.428128","18465","DO.FAR S.N.C. DI FARCINTO G. E C.","VIA LUNGOBISAGNO ISTRIA 25A/R, 16141 - GENOVA GE","Esso",
"8.955203","44.411634","25362","IP","CORSO SARDEGNA 261 R, 16142 - GENOVA GE","Api-Ip","12637;25363"
"8.897657","44.485419","27976","Stazione IES","VIA GASTALDI GIROLAMO 30-32 RR 16163 - GENOVA GE","Ies",
"8.862169","44.415440","6806","8026","VIA SIFFREDI 12 ROSSO, 16153 - GENOVA GE","Tamoil",
"9.045729","44.393006","3474","SANT'ILARIO NORD","Autostrada A12 GENOVA-SESTRI L., Km. 14+500, dir. Ovest - GENOVA GE","TotalErg",
"8.949929","44.407686","19294","Pasquale Sabrina impianto Totalerg","VIA CANEVARI 1 A, 16137 - GENOVA GE","TotalErg",
"8.747459","44.428648","12022","dueaservice snc","statale 1 Via Aurelia, Km. 2, dir. voltri - GENOVA GE","TotalErg",
"8.885780","44.434853","26128","1071 GENOVA PERRONE","CORSO PERRONE 98 16152 - GENOVA GE","AgipEni",
"9.008481","44.392302","25647","stazione di servizio Antonella","CORSO EUROPA 1259, 16148 - GENOVA GE","Api-Ip",
"8.935947","44.414386","7343","ENI 51506","CORSO PAGANINI 4 16125 - GENOVA GE","AgipEni",
"9.000463","44.393956","22139","ESSO & TIGERBAR","CORSO EUROPA 1085, 16148 - GENOVA GE","Esso",
"8.901107","44.470443","5943","GENOVA Via Romairone 6/R","Via Romairone  6/R GENOVA, GE 16163 - GENOVA GE","TotalErg",
"8.837041","44.427630","11600","GENOVA-SESTRI PONENTE VIA MERANO 101/G/R","SESTRI PONENTE VIA MERANO 101/G/R GENOVA, GE 16154 - GENOVA GE","Shell",
"8.893186","44.407802","21456","SPAGNOLO E AMATO SNC","CALATA MOGADISCIO null, 16100 - GENOVA GE","Esso",
"8.858879","44.419023","6350","STAZIONE DI SERVIZIO ENI DI CROVETTI ALBERTO","VIA SIFFREDI ANGELO 54R,NOVA 16153 - GENOVA GE","AgipEni",
